Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressed/parameter_updates),Counter(/camera/rgb_image/compressedDepth/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera/rgb_image/theora/parameter_updates),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_descriptions),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
15,0,0,3,0,0,0,0,12,0,0,0,0,2,12,1,2,0,0,0,0,2,0,0,1,0,0,493,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,2,6,25,0
14,0,0,2,0,0,0,0,13,0,0,0,0,3,13,2,2,0,0,0,0,2,0,0,1,0,0,508,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,2,3,3,7,26,0
15,0,0,3,0,0,0,0,12,0,0,0,0,2,12,2,2,0,0,0,0,2,0,0,2,0,0,487,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,2,4,24,0
1,0,1,3,0,0,0,0,13,0,0,0,0,3,13,2,3,0,0,0,0,3,0,0,3,0,0,498,1,0,1,3,25,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,14,14,18,25,0
0,0,0,3,0,0,0,0,12,0,2,2,1,5,11,3,3,0,0,0,0,3,0,0,3,0,0,502,3,2,1,6,24,2,2,1,3,0,0,0,0,0,0,2,0,0,5,0,0,2,2,19,18,14,24,0
0,0,0,2,0,0,0,0,13,0,15,0,0,3,13,3,3,0,0,0,0,3,0,0,3,0,0,495,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,7,25,0
0,0,0,3,0,0,0,0,12,0,15,0,0,2,12,3,2,0,0,0,0,3,0,0,3,0,0,495,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,3,3,2,25,0
0,0,0,2,0,0,0,0,13,0,15,0,0,3,13,1,2,0,0,0,0,2,0,0,2,0,0,484,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,8,25,0
0,0,0,3,0,0,0,0,12,0,15,0,0,2,12,3,3,0,0,0,0,3,0,0,3,0,0,494,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,2,3,3,8,25,0
0,0,0,2,0,0,0,0,13,0,15,0,0,3,13,3,1,0,0,0,0,2,0,0,3,0,0,471,0,0,0,2,24,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,2,7,25,0
0,0,0,3,0,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,0,3,0,0,2,0,0,496,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,2,2,25,0
0,0,0,2,0,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,0,2,0,0,2,0,0,495,0,0,0,2,25,0,1,1,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,10,10,12,25,0
0,0,0,3,0,0,0,0,12,1,15,1,1,5,12,3,3,0,0,0,0,2,0,0,3,0,0,487,2,1,1,5,25,1,2,1,2,0,0,0,0,0,0,1,0,0,5,0,0,2,2,18,18,21,25,0
0,0,0,2,0,0,0,0,13,1,11,1,2,7,13,1,2,0,0,0,0,3,0,0,1,0,0,488,3,1,2,5,24,1,1,0,2,0,0,0,0,0,0,1,0,0,3,0,0,3,3,16,15,9,24,0
2,1,0,4,0,0,0,0,12,0,0,0,0,2,12,3,3,0,0,0,0,3,0,0,2,0,0,499,1,1,0,4,25,1,2,1,2,0,0,0,0,0,0,1,0,0,5,0,0,2,2,9,10,4,25,0
8,0,1,3,0,0,0,0,13,0,0,1,0,4,13,2,2,0,0,0,0,2,0,0,1,0,0,486,2,1,1,4,25,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,3,8,9,8,24,0
0,0,0,3,0,0,0,0,12,0,15,0,0,2,12,2,1,0,0,0,0,1,0,0,1,0,0,496,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,1,2,2,7,23,0
0,0,0,2,0,0,0,0,13,0,15,0,0,3,13,1,1,0,0,0,0,2,0,0,1,0,0,498,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,3,1,1,8,25,0
0,0,0,3,0,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,0,2,0,0,2,0,0,484,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,2,3,24,0
0,0,0,2,0,0,0,0,12,0,15,0,0,3,12,1,1,0,0,0,0,2,0,0,1,0,0,476,0,0,0,1,24,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,1,7,25,0
0,0,0,3,0,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,0,1,0,0,2,0,0,495,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,12,25,0
0,0,0,2,0,0,0,0,13,0,15,0,1,4,13,1,1,0,0,0,0,2,0,0,1,0,0,504,1,0,1,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,7,7,12,25,0
0,0,0,3,0,0,0,0,12,0,0,0,0,2,12,2,1,0,0,0,0,2,0,0,1,0,0,479,0,0,0,3,25,0,2,1,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,8,8,2,25,0
0,0,0,2,0,0,0,0,13,0,11,1,0,4,13,1,2,0,0,0,0,2,0,0,1,0,0,476,0,0,0,2,24,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,3,5,5,7,25,0
0,0,0,3,0,0,0,0,12,0,15,0,0,2,12,1,1,0,0,0,0,1,0,0,1,0,0,500,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,2,1,1,5,25,0
0,0,0,2,0,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,0,2,0,0,2,0,0,496,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,3,2,2,13,25,0
0,0,0,3,0,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,0,1,0,0,1,0,0,492,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,1,25,0
0,0,0,2,0,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,0,2,0,0,2,0,0,487,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,7,25,0
0,0,0,3,0,0,0,0,12,0,15,0,0,2,12,1,2,0,0,0,0,2,0,0,2,0,0,493,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,8,25,0
